Date,Portfolio Value,Daily portfolio return ,Market value,Daily market return,,,
9/25/2025,"1,00,00,000.00",,"6,604.72",,,,
9/26/2025,"1,00,00,273.97",0.003%,"6,643.70",0.590%,,,
9/29/2025,"1,00,01,095.94",0.008%,"6,661.21",0.264%,,Market,
9/30/2025,"1,00,01,369.94",0.003%,"6,688.46",0.409%,,Total return,-0.026%
10-01-2025,"1,00,01,643.95",0.003%,"6,711.20",0.340%,,Mean daily return,0.003%
10-02-2025,"1,00,01,917.97",0.003%,"6,715.35",0.062%,,Standard Deviation ,0.009
10-03-2025,"1,00,02,192.00",0.003%,"6,715.79",0.007%,,Covariance,7.515E-05
10-06-2025,"1,00,03,014.12",0.008%,"6,740.28",0.365%,,Variance,7.515E-05
10-07-2025,"1,00,03,288.18",0.003%,"6,714.59",-0.381%,,Beta,1
10-08-2025,"1,00,03,562.24",0.003%,"6,753.72",0.583%,,,
10-09-2025,"1,00,03,836.31",0.003%,"6,735.11",-0.276%,,Portfolio,
10-10-2025,"1,00,04,110.39",0.003%,"6,552.51",-2.711%,,Total return,-0.683%
10/13/2025,"1,00,04,932.67",0.008%,"6,654.72",1.560%,,Mean daily return,-0.017%
10/14/2025,"1,00,05,206.78",0.003%,"6,644.31",-0.156%,,Standard Deviation ,0.002
10/15/2025,"1,00,05,480.90",0.003%,"6,671.06",0.403%,,Covariance,8.101E-06
10/16/2025,"1,00,05,755.02",0.003%,"6,629.07",-0.629%,,Variance,3.099E-06
10/17/2025,"1,00,06,029.15",0.003%,"6,664.01",0.527%,,Beta,0.108
10/20/2025,"1,00,06,851.59",0.008%,"6,735.13",1.067%,,,
10/21/2025,"1,00,07,125.75",0.003%,"6,735.35",0.003%,,,
10/22/2025,"1,00,07,399.92",0.003%,"6,699.40",-0.534%,,,
10/23/2025,"1,00,07,674.10",0.003%,"6,738.44",0.583%,,,
10/24/2025,"1,00,07,948.28",0.003%,"6,791.69",0.790%,,,
10/27/2025,"1,00,08,770.88",0.008%,"6,875.16",1.229%,,,
10/28/2025,"1,00,09,045.09",0.003%,"6,890.89",0.229%,,,
10/29/2025,"1,00,09,319.31",0.003%,"6,890.59",-0.004%,,,
10/30/2025,"1,00,09,593.54",0.003%,"6,822.34",-0.990%,,,
10/31/2025,"1,00,09,867.78",0.003%,"6,840.20",0.262%,,,
11-03-2025,"1,00,10,690.53",0.008%,"6,851.97",0.172%,,,
11-04-2025,"1,00,02,835.80",-0.078%,"6,771.55",-1.174%,,,
11-05-2025,"1,00,15,569.69",0.127%,"6,796.29",0.365%,,,
11-06-2025,"99,69,652.58",-0.458%,"6,720.32",-1.118%,,,
11-07-2025,"99,70,086.48",0.004%,"6,728.80",0.126%,,,
11-10-2025,"99,81,439.78",0.114%,"6,832.43",1.540%,,,
11-11-2025,"99,85,935.51",0.045%,"6,846.61",0.208%,,,
11-12-2025,"99,83,314.25",-0.026%,"6,850.92",0.063%,,,
11/13/2025,"99,58,615.99",-0.247%,"6,737.49",-1.656%,,,
11/14/2025,"99,62,797.74",0.042%,"6,734.11",-0.050%,,,
11/17/2025,"99,46,234.03",-0.166%,"6,672.41",-0.916%,,,
11/18/2025,"99,43,734.95",-0.025%,"6,617.32",-0.826%,,,
11/19/2025,"99,67,834.27",0.242%,"6,642.16",0.375%,,,
11/20/2025,"98,87,399.18",-0.807%,"6,538.76",-1.557%,,,
11/21/2025,"99,31,700.15",0.448%,"6,602.99",0.982%,,,
Total return,"-68,299.85",-0.683%,-1.73,-0.026%,,,
Mean daily return,,-0.017%,,0.003%,,,
