,RISK,,,PERFORMANCE,,,
,Variance,Standard Deviation,Beta,Jensen Alpha,Treynor ratio ,Sharpe ratio ,Weight
AAPL,0.00011393,0.01067401,0.60758846,0.00161091,0.00055712,0.03171250,2.96%
AMZN,0.00043389,0.02082998,1.55193588,0.00040188,-0.00183525,-0.22314895,9.52%
IWM,0.00024725,0.01572412,1.39666587,0.00103387,-0.00135397,-0.12026357,5.10%
KO,0.00009673,0.00983533,0.40427981,0.00401714,0.00790035,0.32474296,0.34%
LLY,0.00018463,0.01358803,0.96240020,0.01019667,0.00973155,0.68925716,7.37%
LMT,0.00019459,0.01394944,-0.51631813,-0.00512100,0.00782409,-0.28959736,1.81%
MSFT,0.00018611,0.01364221,0.29556491,-0.00937287,-0.03523019,-0.76327883,12.59%
VOO,0.00017068,0.01306441,0.98523635,0.00011995,-0.00074175,-0.05593790,60.32%
